STATION,PERIOD,RIDERS_PER_WEEKDAY
Wheaton,Evening,4582.9
Wheaton,Late Night Peak,88.79999999999998
Wheaton,Midday,10007.9
Wheaton,PM Peak,8048.4
White Flint,AM Peak,18539.3
White Flint,Evening,3297.8
White Flint,Late Night Peak,106.8
White Flint,Midday,8710.4
White Flint,PM Peak,13509.5
Wiehle,AM Peak,58538.9
Wiehle,Evening,4050.9000000000005
Wiehle,Late Night Peak,54.099999999999994
Wiehle,Midday,15334.100000000002
Wiehle,PM Peak,17740.4
Woodley Park-Zoo,AM Peak,28894.699999999997
Woodley Park-Zoo,Evening,8918.400000000001
Woodley Park-Zoo,Late Night Peak,622.7
Woodley Park-Zoo,Midday,20008.500000000004
Woodley Park-Zoo,PM Peak,20201.6
